"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,"1035794","MANHATTAN","11202",,"5","4","75","In Compliance ","1","756693","43","5386.2","40.76239","-73.974374","Not Available","Midtown-Midtown South                                                      ","1012927501","Multifamily Housing","2614198","1041086","805842","None","89.1","210.8","   5 AVENUE         ","721","5461.2","87.7","209.6","10022"
"No","Yes",,"1023755","MANHATTAN","137",,"5","4","26.5","In Compliance ","1","93135","41","548.4","40.765163","-73.9766","Not Available","Midtown-Midtown South                                                      ","1010117505","Multifamily Housing","2614199","1023755","100840","None","80.6","144.8","AVENUE OF THE AMER  ","1431","574.9","76.7","140.1","10019"
"No","Yes",,,"QUEENS",,,,,"311.8","In Compliance ","12","205744","Not Available","88.5",,,"Not Available",,"4071170008","Multifamily Housing","2640590","4444022","16000","None","433.6","594.6"," 192 STREET         ","    67-00","400.3","433.5","594.4","11365"
"No","Yes",,"1069595","MANHATTAN","137",,"5","4","16.7","In Compliance ","1","372714","46","2204.8","40.765868","-73.976715","Not Available","Midtown-Midtown South                                                      ","1010117502","Multifamily Housing","2614200","1069595","469910","None","65.7","122.5","CENTRAL PARK SOUTH  ","106","2221.5","63.6","120.1","10019"
"No","Yes",,"1041086","MANHATTAN","122",,"8","4","24.5","In Compliance ","1","206162","9","1243.1","40.766497","-73.967199","Not Available","Upper East Side-Carnegie Hill                                              ","1013797502","Multifamily Housing","2614201","1041086","219059","None","82","141.4","PARK AVENUE         ","610","1267.6","80.1","138.9","10065"
"No","Yes",,"1038909","MANHATTAN","90",,"6","4","23.7","In Compliance ","1","865222","16","4608.3","40.751983","-73.967538","Not Available","Turtle Bay-East Midtown                                                    ","1013407501","Multifamily Housing","2614202","1038909","863455","None","73.6","145.1","UNITED NATIONS PLAZA","845","4632","71.2","142.1","10017"
"No","Yes",,"1043902","MANHATTAN","118",,"8","4","12.7","In Compliance ","1","483495","12","3261.3","40.767753","-73.961892","Not Available","Lenox Hill-Roosevelt Island                                                ","1014237501","Multifamily Housing","2614203","1043902","507707","None","91.5","154.6","EAST   69 STREET    ","200","3274","91.4","154.6","10021"
"No","Yes",,"1040756","MANHATTAN","11401",,"8","4","6.8","In Compliance ","1","252049","6","1817.5","40.763012","-73.969739","Not Available","Upper East Side-Carnegie Hill                                              ","1013747502","Multifamily Housing","2614204","1040756","307398","None","80.2","168.5","PARK AVENUE         ","502","1824.2","78","165.9","10022"
"No","Yes",,"1085722","MANHATTAN","155",,"7","6","1970.8","In Compliance ","1","600967","52","1281.2","40.779031","-73.988229","Not Available","Lincoln Square                                                             ","1011717501","Multifamily Housing","2614205","1085722","740377","None","71","118.1","RIVERSIDE BOULEVARD ","200","3252","69.4","116.8","10069"
"No","Yes",,"1027191","MANHATTAN","145",,"7","3","4.8","In Compliance ","1","618334","8","4849.4","40.768529","-73.981588","Not Available","Lincoln Square                                                             ","1011137502","Hotel","2614206","1027191","521218","None","126.9","256.8","CENTRAL PARK WEST   ","1","4854.2","127.3","258.1","10023"
"No","Yes",,"1057373","MANHATTAN","205",,"9","7","288.1","In Compliance ","1","60158","80","63","40.808423","-73.96629","Not Available","Morningside Heights                                                        ","1018960047","Residence Hall/Dormitory","2614534","1057373","68096","None","90.8","118.7","RIVERSIDE DRIVE     ","431","351.1","90.6","118.1","10025"
"No","Yes",,"1001572","MANHATTAN","33",,"1","1","0.1","In Compliance ","1","802000","Not Available","25244.4","40.717722","-74.008968","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001440040","Data Center","2614608","1001572","1074536","None","283.3","889.5","HUDSON STREET       ","56","25244.4","283.8","891.1","10013"
"No","Yes",,"1024850","MANHATTAN","137",,"5","4","171.5","In Compliance ","1","52150","62","235.2","40.764181","-73.982405","31.16","Midtown-Midtown South                                                      ","1010260021","Office","2614663","1024850","71000","Manual","85.4","173.2","BROADWAY            ","1708","406.7","81.4","168.4","10019"
"No","Yes",,"1087937","MANHATTAN","122",,"8","4","2.2","In Compliance ","1","109028","43","653.5","40.767801","-73.967841","Not Available","Upper East Side-Carnegie Hill                                              ","1013807501","Multifamily Housing","2614691","1087937","111166","None","79.2","170.7","EAST   66 STREET    ","40","655.7","77","168.4","10065"
"No","Yes",,"1017092","MANHATTAN","74",,"5","4","0","In Compliance ","2","235564","Not Available","1833","40.747436","-73.983211","Not Available","Midtown-Midtown South                                                      ","1008630067","Office","2617169","1017092","279667","None","85.3","207.1","MADISON AVENUE      ","178","1833","81.3","202.9","10016"
"No","Yes",,"1025450","MANHATTAN","139",,"4","3","4606.8","In Compliance ","1","941351","35","1472.7","40.767077","-73.983755","Not Available","Clinton                                                                    ","1010477503","Multifamily Housing","2614969","1025450","821576","None","96.3","143.3","WEST   57 STREET    ","322","6079.4","Not Available","Not Available","10019"
"Yes","Yes",,,"QUEENS",,,,,"142.6","In Compliance ","1","179575","94","590.6",,,"15.98",,"4000610011","Office","2615087","4441830","199365","Manual","49.2","126.3","  21 STREET         ","    47-40","733.3","Not Available","Not Available","11101"
"No","Yes",,"1001399","MANHATTAN","21",,"1","1","527.3","In Compliance ","1","205000","68","696","40.712792","-74.008217","0","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001240004","Office","2615091","1001399","220624","Manual","70.5","152.3","PARK PLACE          ","9","1223.4","65.9","147","10007"
"No","Yes",,,"QUEENS",,,,,"139.3","In Compliance ","1","126980","Not Available","207.8",,,"11.45",,"4000270005","Other","2615111","4439102","130000","Manual","33.5","74.9","  46 ROAD           ","     5-35","347.1","Not Available","Not Available","11101"
"No","Yes",,"3407509","BROOKLYN            ","632",,"15","46","1238.1","In Compliance ","4","261072","45","345.5","40.602208","-73.933025","Not Available","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","3088190011","Multifamily Housing","2615598","3321833;3321832","267505","None","96.6","133.3","BURNETT STREET      ","2220","1583.6","94.8","131.5","11229"
"Yes","Yes",,,"QUEENS",,,,,"1706.9","In Compliance ","5","332660","29","511.8",,,"22.82",,"4014210001","Multifamily Housing","2615607","4431382;4431384;4431380;4431381;4431383","334890","Manual","111.9","155.8","  91 STREET         ","    32-45","2218.6","106.1","149.7","11369"
"No","Yes",,,"QUEENS",,,,,"1661.8","In Compliance ","6","399204","53","583.4",,,"22.43",,"4014180001","Multifamily Housing","2615609","4535000;4535001;4535002;4535003;4431366;4431369","401868","Manual","92.3","133.2","  89 STREET         ","    32-20","2245.2","Not Available","Not Available","11369"
"Yes","Yes",,,"QUEENS",,,,,"400.6","In Compliance ","1","79710","19","149.1",,,"81.48",,"4015470016","Multifamily Housing","2615618","4038744","78401","Manual","117.7","171.4","BROADWAY            ","    85-14","549.7","Not Available","Not Available","11373"
"No","Yes",,,"QUEENS",,,,,"297.3","In Compliance ","1","67343","40","93.3",,,"45.53",,"4098300035","Multifamily Housing","2615619","4210334","73313","Manual","91.7","128.4"," 175 STREET         ","    87-20","390.6","89.5","125.5","11432"
"No","Yes",,"1027189","MANHATTAN","145",,"7","3","678.8","In Compliance ","1","114022","40","540.7","40.769158","-73.982429","44.3","Lincoln Square                                                             ","1011130018","Office","2615762","1027189","114022","Manual","141.4","265.1","BROADWAY            ","1841","1219.5","130.4","254.8","10023"
"No","Yes",,"1088221","MANHATTAN","33",,"1","1","86.9","In Compliance ","1","133895","7","1358.2","40.719128","-74.005166","91.01","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001910001","Hotel","2615814","1088221","132689","Manual","144","345.9","AVENUE OF THE AMER  ","2","1445.1","143.3","345.1","10013"
"No","Yes",,,"QUEENS",,,,,"6080.1","In Compliance ","14","563800","Not Available","Not Available",,,"Not Available",,"4005570003","Multifamily Housing","2616121","4430794","836530","None",,"Not Available","CRESCENT STREET     ","    33-34","Not Available","Not Available","Not Available","11106"
"Yes","Yes",,"1016034","MANHATTAN","84",,"5","4","277","In Compliance ","1","216932","76","996.2","40.753024","-73.985411","11.23","Midtown-Midtown South                                                      ","1008410001","Office","2616219","1016034","221890","ABS","70.7","186.7","AVENUE OF THE AMER  ","1040","1273.2","70.5","186.1","10018"
"No","Yes",,"1034807","MANHATTAN","104",,"5","4","0","In Compliance ","1","75000","35","564.4","40.762042","-73.975829","Not Available","Midtown-Midtown South                                                      ","1012700049","Office","2616220","1034807","74523","None","94.3","267.2","WEST   55 STREET    ","20","564.4","92.8","265.3","10019"
"No","Yes",,"1015475","MANHATTAN","54",,"5","3","259.6","In Compliance ","1","91000","Not Available","269.3","40.739178","-73.991321","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008210038","Office","2616221","1015475","81980","None","82","167.2","   5 AVENUE         ","142","528.8","81.7","166.3","10011"
"No","Yes",,"1087548","MANHATTAN","187",,"7","6","412.8","In Compliance ","1","171664","37","678.5","40.796754","-73.970727","Not Available","Upper West Side                                                            ","1018717501","Multifamily Housing","2617084","1087548","184475","None","86.5","183.5","WEST   99 STREET    ","245","1091.3","84","179.7","10025"
"Yes","Yes",,"1055912","MANHATTAN","189",,"7","7","275.6","In Compliance ","1","83500","31","411.5","40.798597","-73.967042","75.45","Upper West Side                                                            ","1018550050","Hotel","2617091","1055912","93500","Manual","108.6","224.9","AMSTERDAM AVENUE    ","881","687","106.5","222.7","10025"
"No","Yes",,"1076070","MANHATTAN","42",,"3","2","237.1","In Compliance ","1","58578","35","191.6","40.732475","-73.989338","65.31","East Village                                                               ","1005580037","Residence Hall/Dormitory","2617128","1076070","57263","Manual","118.3","208.5","EAST   12 STREET    ","131","428.7","113.1","202.8","10003"
"No","Yes",,"1035733","MANHATTAN","102",,"5","4","Not Available","In Compliance ","1","65452","Not Available","Not Available","40.760126","-73.973227","Not Available","Midtown-Midtown South                                                      ","1012890045","Hotel","2617252","1035733","65452","None",,"Not Available","EAST   54 STREET    ","56","Not Available","Not Available","Not Available","10022"
"Yes","Yes",,"3320727","BROOKLYN            ","37402",,"13","47","803.2","In Compliance ","2","194880","77","208.3","40.586018","-73.969376","Not Available","Gravesend                                                                  ","3072350001","Multifamily Housing","2630961","3320727","194870","None","90.5","122","WEST STREET         ","2612","1011.5","88.2","119.5","11223"
"Yes","Yes",,"3083643","BROOKLYN            ","1144",,"5","37","Not Available","In Compliance ","1","66709","Not Available","0","40.673836","-73.899142","Not Available","East New York (Pennsylvania Ave)                                           ","3037010007","Non-Refrigerated Warehouse","2617469","3083643","80000","None",,"Not Available","LIBERTY AVENUE      ","300","Not Available","Not Available","Not Available","11207"
"No","Yes",,"1034471","MANHATTAN","96",,"5","4","3.1","In Compliance ","1","79827","54","630","40.757511","-73.980566","Not Available","Midtown-Midtown South                                                      ","1012630005","Office","2633349","1034471","91515","None","89","226.1","WEST   47 STREET    ","67","633.1","85.9","222.8","10036"
"No","Yes",,"1020414","MANHATTAN","48",,"6","2","11.2","In Compliance ","1","112898","1","384796.8","40.732592","-73.983417","Not Available","Gramercy                                                                   ","1009210051","Residence Hall/Dormitory","2617519","1020414","106852","None","54229.8","65306.5","EAST   15 STREET    ","318","384808","51778.2","62356.3","10003"
"No","Yes",,"1088614","MANHATTAN","95",,"5","3","0","In Compliance ","1","149614","63","714.9","40.74688","-73.994446","44.73","Midtown-Midtown South                                                      ","1007760033","Residence Hall/Dormitory","2617683","1088614","130096","Manual","75.1","150.1","WEST   27 STREET    ","210","714.9","73.3","148.3","10001"
"Yes","Yes",,"2017497","BRONX               ","40303",,"7","14","243.8","In Compliance ","1","51896","Not Available","109.1","40.869044","-73.895603","81.23","Van Cortlandt Village                                                      ","2033180007","Multifamily Housing","2617715","2017497","51896","ABS","101.2","133","EAST  196 STREET    ","5","352.9","100","131.6","10468"
"No","Yes",,"1014489","MANHATTAN","113",,"5","3","403.6","In Compliance ","1","181921","83","570.7","40.754732","-73.989782","Not Available","Midtown-Midtown South                                                      ","1007880073","Office","2630384","1014489","197811","None","61.9","136.7","WEST   39 STREET    ","250","974.3","Not Available","Not Available","10018"
"Yes","Yes",,"1058654","MANHATTAN","222",,"10","9","109.6","In Compliance ","1","59020","Not Available","255.4","40.809778","-73.95021","16.52","Central Harlem South                                                       ","1019310010","Other - Entertainment/Public Assembly","2630425","1058654","64400","ABS","79.9","183.8","WEST  125 STREET    ","253","365","74.7","178.4","10027"
"No","Yes",,"1034477","MANHATTAN","96",,"5","4","255.6","In Compliance ","1","85952","71","407.8","40.75722","-73.979877","Not Available","Midtown-Midtown South                                                      ","1012630014","Office","2630626","1034477","101422","None","83.1","187.3","WEST   47 STREET    ","37","663.4","79.6","184.3","10036"
"Yes","Yes",,"1020430","MANHATTAN","48",,"6","2","0","In Compliance ","1","70848","76","715.3","40.734047","-73.983034","Not Available","Gramercy                                                                   ","1009230011","Medical Office","2630774","1020430","156684","None","55","172.8","EAST   17 STREET    ","313","715.3","55","172.8","10003"
"No","Yes",,"1016074","MANHATTAN","52",,"5","2","225.5","In Compliance ","1","87545","76","423.2","40.735988","-73.991152","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008430020","Office","2630917","1016074","108000","None","75.3","176.8","UNION SQUARE        ","17","648.6","Not Available","Not Available","10003"
"No","Yes",,,"QUEENS",,,,,"1463.8","In Compliance ","1","212277","23","245.3",,,"Not Available",,"4050407502","Multifamily Housing","2664467","4114213;4832043","180000","None","124.4","160.7","SANFORD AVENUE      ","   132-35","1709.1","118.8","155","11355"
"Yes","Yes",,"1015534","MANHATTAN","58",,"5","3","Not Available","In Compliance ","1","108167","Not Available","577.8","40.740358","-73.990459","6.71","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008230037","Office","2630929","1015534","132000","Manual",,"Not Available","   5 AVENUE         ","162","Not Available","Not Available","Not Available","10010"
"No","Yes",,"1015255","MANHATTAN","109",,"5","4","0","In Compliance ","2","241001","54","1675","40.751842","-73.98631","Not Available","Midtown-Midtown South                                                      ","1008130031","Office","2630946","1015255","232351","None","93.7","228.6","AVENUE OF THE AMER  ","1001","1675","90.8","225.8","10018"
"Yes","Yes",,"1016020","MANHATTAN","84",,"5","4","209.3","In Compliance ","1","66282","70","222.3","40.751712","-73.984491","Not Available","Midtown-Midtown South                                                      ","1008407501","Office","2630956","1016020","65033","None","84","172.6","WEST   38 STREET    ","57","431.6","84.2","173.2","10018"
"No","Yes",,"3329118","BROOKLYN            ","286",,"11","43","1570","In Compliance ","1","349060","66","402.3","40.597918","-74.004678","Not Available","Bath Beach                                                                 ","3064890001","Multifamily Housing","2630957","3329118","349050","None","98.6","132.6","SHORE PARKWAY       ","1483","1972.3","94.5","128.3","11214"
"No","Yes",,"3328506","BROOKLYN            ","286",,"11","43","1648","In Compliance ","1","316900","73","349.4","40.599082","-74.001203","Not Available","Bath Beach                                                                 ","3064690001","Multifamily Housing","2630958","3328504","316890","None","111.2","144.6","CROPSEY AVENUE      ","2064","1997.4","108.8","142","11214"
"No","Yes",,"3196065","BROOKLYN            ","37401",,"13","47","209.5","In Compliance ","1","97440","100","14.1","40.584931","-73.96866","Not Available","Gravesend                                                                  ","3072380082","Multifamily Housing","2630959","3196065","97430","None","42.2","48","NIXON COURT         ","9","223.6","41.2","46.9","11223"
"Yes","Yes",,"3196057","BROOKLYN            ","37402",,"13","47","400.5","In Compliance ","1","97440","89","60.3","40.585596","-73.971169","Not Available","Gravesend                                                                  ","3072340100","Multifamily Housing","2630960","3196057","97430","None","84.9","104.7","WEST    2 STREET    ","2611","460.8","82.5","102.2","11223"
"No","Yes",,"3196056","BROOKLYN            ","37402",,"13","47","783.2","In Compliance ","1","194880","82","194.9","40.585708","-73.971212","Not Available","Gravesend                                                                  ","3072340001","Multifamily Housing","2630962","3196056","194870","None","87.7","117.3","WEST    2 STREET    ","2612","978.1","85.4","114.9","11223"
"Yes","Yes",,"5105549","STATEN ISLAND       ","12806",,"3","50","287.7","In Compliance ","3","366642","91","168.9","40.563124","-74.11106","Not Available","Oakwood-Oakwood Beach                                                      ","5039830045","Multifamily Housing","2630963","5105548","122204","None","61","98.9","MILL ROAD           ","245","456.6","59.8","97.5","10306"
"No","Yes",,"5105551","STATEN ISLAND       ","12806",,"3","50","422.5","In Compliance ","3","352800","77","131.1","40.5625","-74.113985","Not Available","Oakwood-Oakwood Beach                                                      ","5039830001","Multifamily Housing","2630964","5105551","117590","None","81.1","113.2","TYSENS LANE         ","655","553.5","78.3","110.3","10306"
"Yes","Yes",,"5105546","STATEN ISLAND       ","12806",,"3","50","357","In Compliance ","2","246848","85","146.4","40.564817","-74.110994","Not Available","Oakwood-Oakwood Beach                                                      ","5039830065","Multifamily Housing","2630968","5105546","123414","None","68.8","102.1","EBBITTS STREET      ","26","503.4","67","100.2","10306"
"No","Yes",,"5166094","STATEN ISLAND       ","33",,"1","49","146.3","In Compliance ","1","198384","10","25.7","40.629843","-74.087415","Not Available","Grymes Hill-Clifton-Fox Hills                                              ","5005950015","Multifamily Housing","2630970","5015266","22033","None","139.1","175.5","HOWARD AVENUE       ","22","172","135.6","171.8","10301"
"Yes","Yes",,"1015926","MANHATTAN","84",,"5","4","131.3","In Compliance ","1","72984","93","176.8","40.750475","-73.985386","15.7","Midtown-Midtown South                                                      ","1008380024","Office","2630983","1015926","74990","ABS","51.7","112.7","WEST   36 STREET    ","29","308.1","51.7","112.7","10018"
"No","Yes",,"1000812","MANHATTAN","9",,"1","1","1004.6","In Compliance ","1","389927","58","2070.5","40.70627","-74.012909","Not Available","Battery Park City-Lower Manhattan                                          ","1000220020","Office","2630984","1000812","389917","None","98.7","236.1","BROADWAY            ","42","3075.1","97.7","235.1","10004"
"No","Yes",,"1070358","MANHATTAN","153",,"7","6","1091.1","In Compliance ","1","118055","13","707.7","40.77524","-73.982186","Not Available","Lincoln Square                                                             ","1011397502","Office","2630985","1070358","110794","None","208","374.1","BROADWAY            ","1995","1798.8","207.3","372","10023"
"No","Yes",,"1000803","MANHATTAN","13",,"1","1","0","In Compliance ","1","447452","76","2661.4","40.706251","-74.012952","Not Available","Battery Park City-Lower Manhattan                                          ","1000200004","Office","2630986","1000803","447442","None","77.7","186","BROADWAY            ","39","2661.4","75.9","184","10006"
"No","Yes",,"1000804","MANHATTAN","13",,"1","1","25.4","In Compliance ","1","368315","53","2708.1","40.706397","-74.012829","Not Available","Battery Park City-Lower Manhattan                                          ","1000200009","Office","2630987","1000804","368305","None","94.5","250.1","BROADWAY            ","45","2733.5","93.3","248.7","10006"
"No","Yes",,"1078979","MANHATTAN","9",,"1","1","438.7","In Compliance ","1","143000","58","690.2","40.706045","-74.013096","Not Available","Battery Park City-Lower Manhattan                                          ","1000220017","Office","2630988","1078979","142990","None","101.6","226.9","BROADWAY            ","32","1128.9","100.6","225.9","10004"
"Yes","Yes",,"1015540","MANHATTAN","58",,"5","3","365.3","In Compliance ","1","169887","92","469","40.741253","-73.990978","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008230055","Office","2631025","1015540","179000","None","60.3","128.3","WEST   22 STREET    ","20","834.3","58.1","126.5","10010"
"No","Yes",,"1016131","MANHATTAN","52",,"5","2","624.9","In Compliance ","1","237139","75","1292","40.736787","-73.989305","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008460033","Office","2631036","1016131","285000","None","83.9","201.2","PARK AVENUE SOUTH   ","200","1916.9","81.8","198.2","10003"
"No","Yes",,"1035342","MANHATTAN","82",,"5","4","701.9","In Compliance ","1","132961","73","561.5","40.753315","-73.980993","Not Available","Murray Hill-Kips Bay                                                       ","1012760069","Office","2631047","1035342","156989","None","104.5","197.6","   5 AVENUE         ","501","1263.4","96.3","189","10017"
"No","Yes",,"1017598","MANHATTAN","82",,"5","4","32.7","In Compliance ","1","91212","83","448.8","40.751248","-73.980434","Not Available","Murray Hill-Kips Bay                                                       ","1008690058","Office","2631422","1017598","92577","None","70.3","156.6","MADISON AVENUE      ","274","481.5","67.1","153.1","10016"
"No","Yes",,"1016997","MANHATTAN","74",,"5","2","501.9","In Compliance ","1","119006","69","466.6","40.746286","-73.984023","Not Available","Midtown-Midtown South                                                      ","1008610057","Office","2632179","1016997","122750","None","100.1","198.7","MADISON AVENUE      ","147","968.6","92.9","192.2","10016"
"No","Yes",,"1014176","MANHATTAN","91",,"4","3","1816.1","In Compliance ","1","628697","18","2271.4","40.745112","-73.994919","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007747501","Multifamily Housing","2632792","1014176","603754","None","102","201.9","   7 AVENUE         ","252","4087.4","100.4","200.2","10001"
"Yes","Yes",,"1025240","MANHATTAN","133",,"4","3","375.7","In Compliance ","1","90000","68","407","40.764004","-73.986264","Not Available","Clinton                                                                    ","1010430013","Office","2632856","1025240","102513","None","97.3","200.3","WEST   52 STREET    ","333","782.7","88.2","191.6","10019"
"No","Yes",,"1022708","MANHATTAN","131",,"5","4","484.1","In Compliance ","2","865759","Not Available","6466.7","40.760374","-73.981533","11.46","Midtown-Midtown South                                                      ","1010030005","Office","2633397","1022708","842394","Manual","108.7","267","WEST   50 STREET    ","135","6950.7","107.1","264.7","10019"
"Yes","Yes",,"1035336","MANHATTAN","82",,"5","4","630.1","In Compliance ","1","138883","67","601.6","40.752702","-73.97907","Not Available","Murray Hill-Kips Bay                                                       ","1012760051","Office","2633414","1035336","149292","None","106.1","210.7","EAST   42 STREET    ","50","1231.8","Not Available","Not Available","10017"
"No","Yes",,"1040764","MANHATTAN","11401",,"8","4","78.4","In Compliance ","1","50519","38","587.4","40.76472","-73.97216","108.54","Upper East Side-Carnegie Hill                                              ","1013740065","Hotel","2633765","1040764","57000","Manual","161.7","341.2","EAST   60 STREET    ","4","665.8","Not Available","Not Available","10022"
"No","Yes",,"1057214","MANHATTAN","191",,"7","6","58.1","In Compliance ","1","62605","100","55","40.80045","-73.969768","Not Available","Upper West Side                                                            ","1018910011","Multifamily Housing","2634011","1057241","62605","None","25.2","48.4","WEST  104 STREET    ","305","113.1","Not Available","Not Available","10025"
"No","Yes",,"1032587","MANHATTAN","181",,"7","6","1829.3","In Compliance ","1","235426","Not Available","411.2","40.792952","-73.969819","Not Available","Upper West Side                                                            ","1012260001","Multifamily Housing","2634014","1032587","199223","None","147.9","202.6","WEST   95 STREET    ","169","2240.4","141","195.6","10025"
"Yes","Yes",,"1015827","MANHATTAN","76",,"5","4","271.5","In Compliance ","1","63479","65","231.3","40.747541","-73.986426","47.58","Midtown-Midtown South                                                      ","1008330054","Office","2634038","1015827","62604","Manual","103.6","199.5","WEST   32 STREET    ","16","502.8","94.5","189.6","10001"
"Yes","Yes",,"1015528","MANHATTAN","58",,"5","3","161.7","In Compliance ","1","67560","Not Available","180.9","40.740764","-73.991682","20.27","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008237503","Multifamily Housing","2636465","1015528","74316","ABS","70.3","135.2","WEST   21 STREET    ","31","342.6","68.1","132.3","10010"
"No","Yes",,"1033916","MANHATTAN","171",,"7","6","754.6","In Compliance ","1","171655","79","195.3","40.788365","-73.97825","Not Available","Upper West Side                                                            ","1012470029","Multifamily Housing","2636664","1033916","188821","None","65.6","92.8","WEST END AVENUE     ","525","950","60.5","87.7","10024"
"Yes","Yes",,"1014757","MANHATTAN","87",,"4","3","205.5","In Compliance ","1","51384","Not Available","627.4","40.742065","-73.994818","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007960058","College/University","2636732","1014757","27358","None","157.1","280.7","WEST   21 STREET    ","132","832.9","Not Available","Not Available","10011"
"Yes","Yes",,"1016993","MANHATTAN","74",,"5","2","142.3","In Compliance ","1","95197","58","262.8","40.746261","-73.983399","24.6","Midtown-Midtown South                                                      ","1008610047","Office","2647905","1016993","70200","ABS","76.4","173.9","EAST   32 STREET    ","44","405.1","70.7","168.1","10016"
"No","Yes",,"1020543","MANHATTAN","64",,"6","2","247.9","In Compliance ","1","182258","Not Available","982.9","40.736981","-73.981554","Not Available","Gramercy                                                                   ","1009270055","Other - Education","2636742","1020567","198000","None","77","205.3","   2 AVENUE         ","374","1230.8","76.2","204.8","10010"
"No","Yes",,"3150871","BROOKLYN            ","64",,"10","43","268.2","In Compliance ","1","50310","2","57","40.62774","-74.026349","570.01","Bay Ridge                                                                  ","3059790046","Multifamily Housing","2636777","3150871","8035","Manual","713.8","928.2","   4 AVENUE         ","7914","325.1","695.9","908.8","11209"
"Yes","Yes",,"1014457","MANHATTAN","109",,"5","3","410.3","In Compliance ","1","163103","92","418.2","40.753288","-73.99015","13.28","Midtown-Midtown South                                                      ","1007870025","Office","2636809","1014457","175565","Manual","59.8","121.6","WEST   37 STREET    ","225","828.6","57.9","119.7","10018"
"No","Yes",,,"QUEENS",,,,,"105.3","In Compliance ","4","344292","73","576.2",,,"Not Available",,"4082860185","Retail Store","2646998","4438369","157745","None","56.6","151.5","  61 AVENUE         ","   242-02","681.5","54.6","149.2","11362"
"No","Yes",,"1032526","MANHATTAN","177",,"7","6","1788","In Compliance ","1","315834","8","551.5","40.790951","-73.969","Not Available","Upper West Side                                                            ","1012237503","Multifamily Housing","2636836","1032526","218071","None","140.7","207.2","WEST   93 STREET    ","100","2339.5","134.8","199.2","10025"
"Yes","Yes",,"1012378","MANHATTAN","99",,"4","3","322","In Compliance ","1","108081","Not Available","204","40.74986","-74.006291","14.33","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1006960065","Office","2636842","1012378","108000","Manual","63","112.2","  11 AVENUE         ","210","526","60.6","110","10001"
"No","Yes",,"3202171","BROOKLYN            ","59401",,"15","48","216.4","In Compliance ","1","57000","2","45.3","40.593906","-73.95036","600.68","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","3074050052","Multifamily Housing","2636843","3202171","8500","Manual","543.6","705","OCEAN AVENUE        ","2765","261.7","533.6","694","11229"
"Yes","Yes",,"1017192","MANHATTAN","82",,"5","4","172.5","In Compliance ","1","59800","77","191.3","40.750013","-73.982369","14.71","Murray Hill-Kips Bay                                                       ","1008670009","Office","2636846","1017192","65000","Manual","72.4","148.9","EAST   37 STREET    ","9","363.9","67.5","143.9","10016"
"Yes","Yes",,"1014462","MANHATTAN","109",,"5","3","352.3","In Compliance ","1","137887","96","269.1","40.753942","-73.989829","10.14","Midtown-Midtown South                                                      ","1007870059","Office","2636855","1014462","157059","Manual","50.5","95","WEST   38 STREET    ","230","621.4","45.2","89.2","10018"
"No","Yes",,"1086088","MANHATTAN","16",,"3","1","1496.1","In Compliance ","1","1217600","49","3325.1","40.714146","-73.997432","Not Available","Chinatown                                                                  ","1002899001","Multifamily Housing","2637859","1086088","1217600","None","56.1","127.7","BOWERY              ","1","4821.2","54.4","122.4","10002"
"Yes","Yes",,"2085775","BRONX               ","30701",,"8","11","Not Available","In Compliance ","1","134000","Not Available","186","40.887354","-73.912142","Not Available","North Riverdale-Fieldston-Riverdale                                        ","2059030283","Multifamily Housing","2636858","2085775","133990","None",,"Not Available","HENRY HUDSON PKWY W ","3611","Not Available","Not Available","Not Available","10463"
